Announced,Trade Date,Index,Ticker,Action,Last Px,Sector,Shs to Trade,$MM to Trade,ADV to Trade
6/5/2023,6/16/2023,S&P 400,CCK,Add,$80.37,Materials,"12,806,405","1,029.30",1418%
6/5/2023,6/16/2023,S&P 600,CRC,Add,$39.35,Energy,"9,329,947",367.1,1349%
6/5/2023,6/16/2023,S&P 400,DBX,Add,$23.68,Information Technology,"29,341,919",694.8,752%
6/5/2023,6/16/2023,S&P 400,DOCS,Add,$33.03,Health Care,"12,770,381",421.8,832%
6/5/2023,6/16/2023,S&P 400,GPK,Add,$25.00,Materials,"33,165,886",829.1,1208%
6/5/2023,6/16/2023,S&P 600,MC,Add,$39.78,Financials,"8,985,312",357.4,1522%
6/5/2023,6/16/2023,S&P 400,OVV,Add,$35.59,Energy,"26,313,357",936.5,881%
6/5/2023,6/16/2023,S&P 500,PANW,Add,$217.24,Information Technology,"44,093,704","9,578.90",922%
6/5/2023,6/16/2023,S&P 600,PECO,Add,$30.18,Real Estate,"15,639,065",472.00,2971%
6/5/2023,6/16/2023,S&P 400,PLNT,Add,$63.71,Consumer Discretionary,"9,295,171",592.2,740%
6/5/2023,6/16/2023,S&P 600,SDGR,Add,$35.65,Health Care,"7,154,518",255.1,734%
6/5/2023,6/16/2023,S&P 600,UFPT,Add,$159.86,Health Care,"887,769",141.9,1342%
6/5/2023,6/16/2023,S&P 400,WCC,Add,$146.14,Industrials,"4,891,002",714.8,677%
6/5/2023,6/16/2023,S&P 400,ZI,Add,$26.45,Communication Services,"30,320,541",802.00,614%
5/1/2023,5/3/2023,S&P 400,STAG US,Add,$33.65,Real Estate,"19,668,060",661.8,1614%
4/25/2023,4/28/2023,S&P 600,CTKB US,Add,$9.57,Healthcare,"10,811,057",103.5,1568%
3/29/2023,4/4/2023,S&P 600,PACW US,Add,$9.86,Financials,"16,410,307",$161.80,79%
3/28/2023,3/31/2023,S&P 600,NABL US,Add,$12.15,Info Tech,"8,955,688",$108.80,2562%
3/28/2023,3/30/2023,S&P 600,STHOV US,Add,$20.00,Real Estate,-,-,-
3/15/2023,3/21/2023,S&P 600,CERT US,Add,$20.56,Healthcare,"14,201,572",292,2065%
3/15/2023,3/20/2023,S&P 600,CVI US,Add,$28.31,Energy,"3,935,789",111.4,492%
3/13/2023,3/14/2023,S&P 500,BG US,Add,$91.39,Cons Stap,"26,063,253","2,381.90",2438%
3/10/2023,3/14/2023,S&P 500,PODD US,Add,$280.36,Healthcare,"12,111,906","$3,395.70",2602%
3/6/2023,3/17/2023,S&P 400,ALV,Add,$95.08,Consumer Discretionary,"8,483,812",$806.60,820%
3/6/2023,3/17/2023,S&P 400,ARMK,Add,$37.52,Consumer Discretionary,"28,789,115","$1,080.20",977%
3/6/2023,3/17/2023,S&P 400,AXTA,Add,$31.05,Materials,"24,179,807",$750.80,1191%
3/6/2023,3/17/2023,S&P 400,CHRD,Add,$143.97,Energy,"4,539,562",653.6,982%
3/6/2023,3/17/2023,S&P 400,HGV,Add,$47.68,Consumer Discretionary,"8,660,222",$412.90,1446%
3/6/2023,3/17/2023,S&P 400,HTZ,Add,$18.77,Industrials,"17,197,030",$322.80,611%
3/6/2023,3/17/2023,S&P 400,SSB,Add,$79.74,Financials,"8,259,645",$658.60,1989%
3/6/2023,3/17/2023,S&P 400,STWD,Add,$19.66,Financials,"33,931,746",$667.10,1579%
3/6/2023,3/17/2023,S&P 400,USFD,Add,$38.67,Consumer Staples,"22,431,404",$867.40,1586%
3/6/2023,3/17/2023,S&P 400,VAL,Add,$72.21,Energy,"6,562,421",$473.90,760%
3/6/2023,3/17/2023,S&P 400,WMS,Add,$89.74,Industrials,"6,725,045",$603.50,756%
3/6/2023,3/17/2023,S&P 600,AUB,Add,$37.21,Financials,"9,945,210",$370.10,3657%
3/6/2023,3/17/2023,S&P 600,KW,Add,$16.72,Real Estate,"15,622,667",$261.20,3107%
3/6/2023,3/17/2023,S&P 600,NEX,Add,$10.06,Energy,"21,154,503",$212.80,638%
3/6/2023,3/17/2023,S&P 600,RDN,Add,$21.91,Financials,"21,474,608",$470.50,1706%
2/23/2023,2/28/2023,S&P 600,VRRM US,Add,$16.12,Info Tech,"18,315,147",$295.20,1870%
2/16/2023,2/22/2023,S&P 600,OTTR US,Add,$62.75,Utilities,"5,600,202",$351.40,3708%
1/30/2023,2/3/2023,S&P 600,CRK US,Add,$11.74,Energy,"11,979,162",140.6,334%
1/26/2023,2/1/2023,S&P 600,NOG US,Add,$33.32,Energy,"8,902,171",296.6,709%
1/25/2023,1/30/2023,S&P 600,DV US,Add,$25.44,Info Tech,"9,749,059",$248.00,1245%
12/28/2022,1/3/2023,S&P 500,GEHCV US,Add,$57.50,Healthcare,-,-,-
12/19/2022,12/21/2022,S&P 400,SMCI US,Add,$78.29,Info Tech,"5,054,602",$395.70,550%
12/12/2022,12/16/2022,S&P 400,FBHS US,Add,$61.91,Industrials,"14,068,257",$871.00,1008%
12/12/2022,12/16/2022,S&P 500,FSLR US,Add,$150.28,Info Tech,"17,290,640","$2,598.40",621%
11/28/2022,11/30/2022,S&P 400,NXST US,Add,$174.63,Comm Svcs,"4,257,991",743.6,889%
10/27/2022,10/31/2022,S&P 500,ACGL,Add,$51.69,Financials,"64,232,791","$3,320.20",3159%
10/27/2022,10/31/2022,S&P 400,RXO,Add,$21.00,Industrials,-,-,-
10/17/2022,10/19/2022,S&P 400,AR,Add,$33.93,Energy,"30,910,807","$1,048.80",468%
10/13/2022,10/17/2022,S&P 400,WLK,Add,$90.50,Materials,"3,790,077",$343.00,482%
10/6/2022,10/11/2022,S&P 500,TRGP,Add,$70.44,Energy,"39,511,541",-,1152%
10/6/2022,10/11/2022,S&P 400,LNTH,Add,$55.66,Healthcare,"7,545,053",-,433%
10/6/2022,10/11/2022,S&P 600,PAYO,Add,$5.55,Info Tech,"26,958,636",-,395%
9/27/2022,9/30/2022,S&P 400,FYBR,Add,$22.22,Comm Svcs,"24,463,474",$543.60,2750%
9/23/2022,9/30/2022,S&P 500,PCG,Add,$12.61,Utilities,"279,658,925","$3,526.50",1908%
9/23/2022,9/30/2022,S&P 600,MCW,Add,$8.63,Cons Disc,"10,724,380",$92.60,559%
9/23/2022,9/30/2022,S&P 600,CBTX,Add,$30.96,Financials,"6,184,650",$191.50,4447%
9/23/2022,9/30/2022,S&P 600,XPER,Add,$14.36,Info Tech,-,-,-
9/23/2022,9/27/2022,S&P 600,LESL,Add,$13.45,Cons Disc,"20,014,112",$269.20,1495%
9/12/2022,9/14/2022,S&P 600,CPRX,Add,$15.15,Healthcare,"12,559,922",$190.30,463%
9/6/2022,9/16/2022,S&P 500,CSGP,Add,,Industrials,"64,972,727","$5,095.20",3580%
9/6/2022,9/16/2022,S&P 500,INVH,Add,,Real Estate,"95,019,363","$3,758.00",2955%
9/6/2022,9/16/2022,S&P 400,DT,Add,,Info Tech,"22,118,650",$900.90,935%
9/6/2022,9/16/2022,S&P 400,NLY,Add,,Financials,"193,493,746","$1,286.70",661%
9/6/2022,9/16/2022,S&P 600,OUT,Add,,Real Estate,"19,824,632",$390.30,965%
8/29/2022,8/31/2022,S&P 600,AVID,Add,$24.13,Info Tech,"4,728,050",$114.10,1704%
8/12/2022,8/16/2022,S&P 400,MTSI,Add,$61.41,Info Tech,"5,370,746",$329.80,1277%
8/4/2022,8/9/2022,S&P 400,CELH,Add,$108.41,Cons Stap,"4,220,121",$457.50,327%
8/4/2022,8/9/2022,S&P 600,CLFD,Add,$103.21,Info Tech,"1,502,002",$155.00,605%
